total_quantity,business_quantity,personal_quantity,request_type,total_time
54,34,20,payment,195.4
44,40,4,payment,129.78
114,4,110,payment,195.26
30,17,13,payment,70.03
24,13,11,payment,64.44
30,20,10,payment,105.23
65,47,18,existence,183.91
16,10,6,existence,30.71
80,20,60,payment,127.29
129,14,115,debt,254.3
74,20,54,existence,158.61
57,45,12,existence,121.4
127,9,118,debt,245.6
78,35,43,payment,219.94
118,6,112,debt,277.79
26,26,0,existence,78.83
146,3,143,payment,216.54
65,63,2,debt,239.57
78,38,40,existence,235.98
76,67,9,existence,224.64
72,26,46,debt,154.4
151,70,81,payment,320.65
137,31,106,payment,216.22
49,25,24,payment,137.24
145,106,39,payment,328.32
25,23,2,existence,79.89
65,1,64,payment,171.28
140,57,83,debt,385.08
51,36,15,existence,153.67
62,36,26,existence,146.32
156,45,111,payment,298.61
130,114,16,existence,423.23
41,32,9,debt,137.5
102,27,75,existence,144.59
18,16,2,debt,78.23
105,19,86,debt,178.63
75,20,55,existence,164.51
115,69,46,debt,345.96
19,5,14,debt,60.41
31,7,24,payment,99.28
102,13,89,payment,146.59
119,98,21,debt,378.7
81,2,79,debt,223.01
147,2,145,payment,340.37
35,13,22,payment,66.18
127,5,122,existence,284.51
97,27,70,existence,153.1
103,95,8,existence,378.82
54,2,52,payment,136.96
95,4,91,existence,137.8
1,1,0,debt,22.85
115,40,75,debt,188.83
6,6,0,payment,29.08
101,56,45,debt,263.58
96,80,16,debt,282.07
69,43,26,payment,236.41
76,2,74,payment,104.98
6,2,4,debt,25.31
5,2,3,payment,19.74
89,86,3,debt,243.41
18,3,15,existence,39.15
95,11,84,debt,137.99
31,29,2,existence,79.91
67,51,16,debt,204.74
97,21,76,debt,212.42
8,2,6,debt,40.89
69,15,54,payment,171.56
113,80,33,debt,340.62
34,14,20,payment,80.79
14,1,13,existence,29.48
38,14,24,existence,84.88
63,5,58,existence,150.16
62,48,14,existence,150.83
109,46,63,payment,330.68
46,25,21,debt,103.98
150,25,125,existence,308.07
136,123,13,payment,387.08
25,5,20,debt,61.93
88,70,18,payment,231.6
104,101,3,payment,335.55
66,58,8,existence,173.08
114,40,74,debt,241.65
24,17,7,existence,73.85
92,57,35,existence,184.18
115,93,22,debt,373.02
52,38,14,payment,150.18
137,86,51,debt,390.18
122,26,96,payment,271.6
101,95,6,debt,305.68
50,8,42,existence,72.04
71,55,16,payment,202.7
24,3,21,payment,62.36
8,7,1,debt,45.92
27,17,10,debt,85.22
120,96,24,existence,411.8
33,31,2,existence,96.48
91,48,43,existence,249.46
66,40,26,existence,137.37
47,21,26,debt,107.85
28,14,14,debt,98.69
40,26,14,payment,96.76
39,38,1,debt,115.28
111,83,28,payment,334.07
100,98,2,payment,298.2
114,45,69,debt,337.49
73,18,55,existence,107.06
65,63,2,existence,196.58
74,5,69,existence,136.81
1,1,0,existence,3.71
66,1,65,debt,96.83
111,57,54,existence,242.8
71,4,67,existence,123.52
30,12,18,existence,81.67
33,11,22,payment,66.08
114,67,47,payment,295.73
108,6,102,existence,237.19
157,42,115,debt,327.53
138,74,64,existence,263.38
24,24,0,debt,87.58
25,20,5,existence,50.88
22,5,17,payment,55.2
77,10,67,debt,122.88
116,41,75,debt,344.88
104,102,2,existence,303.56
43,30,13,existence,89.51
116,103,13,existence,388.59
20,12,8,existence,58.84
125,98,27,debt,417.2
118,48,70,existence,337.96
20,10,10,payment,44.66
69,3,66,existence,137.66
124,60,64,existence,225.13
111,38,73,debt,274.89
148,69,79,debt,350.75
155,8,147,payment,325.87
13,3,10,debt,60.26
92,17,75,existence,225.82
72,11,61,existence,155.09
60,3,57,existence,131.85
98,35,63,payment,245.42
19,14,5,payment,50.92
18,16,2,debt,66.12
59,59,0,debt,138.04
44,37,7,debt,162.3
156,73,83,payment,345.49
113,52,61,payment,209.11
24,5,19,existence,46.94
23,19,4,payment,68.45
70,67,3,payment,234.8
73,51,22,debt,180.39
96,63,33,existence,304.63
136,43,93,payment,352.71
43,35,8,existence,99.11
24,24,0,payment,92.11
146,78,68,debt,441.83
78,71,7,debt,206.89
30,10,20,existence,81.22
124,23,101,payment,198.22
103,99,4,existence,399.34
136,9,127,payment,339.76
55,29,26,existence,141.88
86,8,78,payment,203.84
117,36,81,payment,347
73,61,12,payment,235.95
87,83,4,debt,352.54
61,45,16,debt,218.52
11,10,1,payment,53.31
49,27,22,debt,131.16
59,20,39,debt,156.69
89,61,28,debt,326.27
86,29,57,payment,170.89
128,39,89,payment,238.05
131,10,121,existence,170.84
6,1,5,payment,31.18
67,33,34,existence,134.72
97,17,80,existence,256.95
133,31,102,payment,363.2
152,139,13,existence,433.44
108,62,46,debt,221.47
80,29,51,debt,222.54
89,75,14,debt,327.17
41,27,14,debt,110.05
27,21,6,payment,75.52
12,1,11,existence,16.65
14,13,1,existence,31.4
35,16,19,existence,79.02
123,66,57,debt,261.04
142,37,105,payment,334.47
39,37,2,debt,131.59
70,22,48,payment,143.47
141,6,135,existence,215.72
49,3,46,existence,97.3
46,19,27,payment,92.1
134,59,75,debt,306.66
15,3,12,existence,34.19
117,113,4,payment,254.91
85,59,26,debt,192.95
25,11,14,existence,70.77
25,12,13,debt,66.11
123,36,87,existence,181.71
25,25,0,payment,74.28
124,61,63,payment,243.24
128,91,37,existence,384.28
2,1,1,debt,21.85
138,66,72,payment,227.71
137,103,34,debt,431.45
67,12,55,debt,193.89
135,76,59,debt,400.6
100,72,28,debt,278.71
138,62,76,debt,366.97
59,32,27,debt,147.33
34,20,14,debt,102.92
63,14,49,payment,179.38
55,10,45,payment,111.66
107,42,65,debt,274.37
146,57,89,existence,373.75
1,1,0,existence,3.86
28,24,4,payment,72.8
65,17,48,payment,175.13
21,5,16,existence,51.46
85,12,73,existence,187.54
10,2,8,debt,37.91
8,7,1,existence,20.87
12,1,11,existence,28.87
50,25,25,debt,179.41
30,17,13,payment,67.9
46,34,12,payment,96.92
36,1,35,existence,60.74
85,23,62,existence,177.32
29,4,25,debt,97.93
40,1,39,debt,93.47
80,61,19,debt,197.79
15,9,6,existence,42.75
147,120,27,debt,378.7
83,46,37,debt,234.85
157,46,111,payment,402.69
44,33,11,payment,106.88
104,85,19,payment,237.72
86,19,67,debt,246.26
32,31,1,existence,101.02
102,84,18,debt,280.61
35,23,12,existence,92.33
79,41,38,existence,199.73
33,20,13,payment,98.62
138,103,35,debt,406.25
134,123,11,payment,453.82
149,64,85,debt,263.58
127,41,86,payment,244.02
18,1,17,existence,21.59
150,116,34,debt,414.18
62,16,46,payment,174.68
59,47,12,debt,149.72
73,59,14,debt,211.79
47,46,1,payment,124.02
17,6,11,payment,35.25
25,22,3,existence,54.34
17,12,5,existence,45.16
2,2,0,payment,13.66
94,73,21,payment,325.66
104,100,4,payment,270.57
102,36,66,payment,262.64
78,18,60,existence,113.36
46,26,20,debt,129.54
118,97,21,debt,252.21
32,8,24,debt,85.29
74,63,11,debt,245.74
97,75,22,debt,218.59
40,33,7,debt,101.59
27,23,4,debt,77.52
11,6,5,existence,33.89
52,36,16,payment,174.11
127,108,19,payment,433.72
103,14,89,payment,197.22
127,29,98,payment,258.21
113,50,63,payment,326.4
112,41,71,debt,203.26
4,1,3,payment,14.35
75,58,17,payment,236.88
32,19,13,debt,103.82
157,96,61,existence,368.1
10,7,3,debt,54.65
123,65,58,payment,277.45
124,37,87,payment,351.31
23,22,1,debt,88.32
117,35,82,debt,341.42
126,95,31,existence,309.33
119,6,113,existence,293.45
50,23,27,existence,126.54
6,3,3,payment,20.51
126,76,50,payment,269.5
57,8,49,debt,108.71
92,20,72,payment,188.38
1,1,0,debt,15.75
101,23,78,payment,162.95
99,80,19,debt,355.11
26,6,20,debt,86.89
94,57,37,debt,224.64
49,23,26,existence,151.96
91,20,71,existence,178.47
14,13,1,existence,42.76
105,65,40,payment,314.57
82,41,41,payment,246.18
100,21,79,debt,151.14
133,40,93,payment,251.84
59,59,0,debt,129.2
95,3,92,debt,253.7
124,97,27,existence,309.24
47,35,12,debt,138.06
131,68,63,debt,357.16
137,64,73,payment,360.23
126,22,104,payment,342.77
97,2,95,debt,211.52
38,38,0,existence,117.69
114,46,68,payment,249.62
86,7,79,debt,235.16
34,12,22,payment,77.08
34,6,28,payment,98.48
150,150,0,debt,439.86
49,12,37,payment,103.52
39,27,12,debt,107.76
27,12,15,existence,57.07
7,6,1,payment,36.13
25,25,0,debt,109.62
133,120,13,existence,315.14
141,4,137,payment,323.53
27,12,15,debt,93.37
77,71,6,debt,219.83
132,15,117,debt,343.66
6,1,5,debt,38.39
96,37,59,debt,262.19
101,98,3,payment,248.38
8,5,3,debt,34.92
27,10,17,existence,61.81
54,21,33,debt,122.68
82,79,3,payment,184.74
142,81,61,debt,422.06
143,87,56,debt,418.42
146,75,71,debt,372.47
106,41,65,existence,217.61
143,126,17,debt,376.26
33,15,18,debt,70.08
102,15,87,debt,240.23
33,32,1,payment,110.89
94,35,59,payment,188.76
5,2,3,existence,13.3
92,81,11,debt,209.08
18,7,11,existence,26.83
87,76,11,existence,278.13
82,13,69,existence,218.92
73,60,13,existence,221.53
82,24,58,payment,144.23
137,41,96,existence,356.27
127,44,83,debt,340.69
36,25,11,payment,129.2
148,55,93,payment,279.93
102,3,99,payment,158.94
106,3,103,existence,239.5
85,40,45,debt,263.72
41,22,19,debt,140.15
70,59,11,payment,186.96
105,13,92,payment,235.62
35,31,4,payment,90.79
98,81,17,payment,350.01
103,84,19,debt,276.31
107,29,78,payment,176.92
154,92,62,payment,345.33
70,61,9,payment,194.14
123,30,93,existence,233.51
80,70,10,debt,230.01
56,5,51,existence,84.53
86,13,73,existence,137.95
129,12,117,debt,189.75
97,47,50,existence,249.5
105,97,8,payment,282.67
98,80,18,debt,307.76
29,28,1,debt,106.56
33,32,1,debt,122.68
7,3,4,existence,16.63
105,61,44,payment,315.77
17,8,9,debt,57.36
69,68,1,payment,257.56
47,43,4,debt,160.83
110,100,10,debt,381.24
82,7,75,existence,169.97
49,13,36,existence,132.08
105,8,97,debt,261.82
54,35,19,debt,186.14
70,19,51,payment,191.97
115,69,46,existence,313.59
84,9,75,debt,199.86
17,6,11,payment,50.41
141,130,11,existence,455.29
79,44,35,existence,208.02
70,15,55,debt,135.05
97,82,15,debt,302.46
143,64,79,existence,398.92
58,17,41,payment,123.81
29,13,16,payment,71.34
82,66,16,existence,239.72
71,42,29,existence,163.74
63,18,45,existence,134.49
145,7,138,existence,338.73
38,36,2,debt,135.75
27,2,25,existence,46.43
122,2,120,payment,195.32
50,34,16,payment,128.17
126,107,19,existence,366.14
80,13,67,existence,113.45
157,121,36,debt,513.96
65,50,15,debt,145.18
75,43,32,payment,189.88
32,23,9,payment,83.5
92,82,10,debt,219.85
112,40,72,debt,336.75
62,41,21,existence,121.16
16,12,4,debt,59.92
13,12,1,payment,40.32
143,41,102,debt,243.96
100,62,38,payment,211.29
75,11,64,existence,100.16
87,20,67,debt,207.17
112,2,110,payment,177.94
148,68,80,debt,306.77
155,106,49,existence,476.3
44,29,15,debt,102.89
38,4,34,payment,105.39
5,5,0,existence,15.56
115,113,2,payment,455.31
70,2,68,existence,102.79
73,57,16,existence,165.68
122,67,55,debt,306.68
101,52,49,debt,228.82
67,63,4,payment,175.79
76,40,36,payment,228.25
126,74,52,debt,312.37
74,70,4,existence,243.16
114,82,32,payment,266.43
111,89,22,debt,278.97
35,1,34,existence,47.16
148,52,96,existence,383.63
26,23,3,payment,111.39
78,70,8,payment,192.23
19,1,18,debt,46.85
12,11,1,existence,40.06
62,3,59,existence,147.2
86,25,61,existence,183.83
34,15,19,existence,75.41
51,10,41,payment,135
6,1,5,payment,25.58
121,77,44,existence,245.92
107,40,67,payment,218.55
23,3,20,existence,51.3
25,10,15,payment,84.45
116,108,8,payment,365.16
79,47,32,payment,188.34
1,1,0,existence,2.89
146,146,0,existence,368.34
35,2,33,payment,61.52
135,88,47,existence,337.34
154,27,127,payment,392.77
40,5,35,existence,96.54
61,35,26,debt,184.42
23,23,0,debt,70.83
147,113,34,debt,342.8
148,99,49,payment,460.46
60,37,23,existence,177.52
74,74,0,existence,239.55
71,63,8,payment,228.64
46,5,41,debt,67.81
132,6,126,payment,243.1
63,61,2,existence,199.61
65,10,55,payment,162.97
15,4,11,debt,53.46
69,42,27,debt,172.22
27,26,1,payment,74.3
117,25,92,debt,180.52
87,1,86,payment,210.11
33,29,4,payment,112.87
101,85,16,debt,220.56
20,20,0,debt,61.25
80,4,76,payment,220.78
88,20,68,payment,246.29
55,48,7,existence,141.52
59,2,57,existence,108.17
14,10,4,debt,57.09
84,59,25,existence,153.67
5,5,0,existence,10.11
30,25,5,existence,89.62
145,61,84,existence,263.05
9,8,1,debt,40.53
66,22,44,payment,158.42
118,70,48,debt,307.88
109,41,68,payment,221.55
106,74,32,debt,315
113,11,102,existence,261.06
125,71,54,existence,324.33
121,45,76,debt,295.76
25,18,7,existence,49.65
106,3,103,existence,229.44
49,4,45,payment,116.25
156,115,41,payment,507
13,13,0,payment,48.1
80,77,3,payment,241.96
114,44,70,payment,294.28
27,3,24,payment,48.31
84,7,77,payment,159.86
95,75,20,debt,344.74
119,80,39,debt,346.88
52,13,39,payment,137.46
97,90,7,debt,312.91
110,4,106,debt,244.84
90,1,89,payment,199.2
15,3,12,debt,49.78
72,43,29,payment,160.02
149,71,78,existence,374.28
6,6,0,debt,31.47
39,16,23,payment,131.96
45,43,2,existence,108.18
23,23,0,debt,82.08
133,65,68,payment,403.94
56,33,23,payment,129.31
19,11,8,debt,69.24
84,41,43,existence,151.02
13,9,4,payment,36.66
38,35,3,debt,116.15
101,12,89,payment,166.58
131,110,21,payment,292.56
151,26,125,payment,232.09
144,17,127,payment,254.18
97,59,38,debt,230.35
15,15,0,existence,45.81
153,53,100,debt,404.24
73,19,54,existence,141.38
60,53,7,existence,160.88
54,27,27,existence,148.08
94,17,77,existence,148.65
58,30,28,payment,153.91
143,50,93,existence,316.21
19,3,16,existence,25.56
78,10,68,existence,164.43
73,28,45,debt,159.19
23,11,12,payment,71.82
54,52,2,debt,138.67
17,10,7,existence,33.02
77,34,43,debt,175.64
15,5,10,debt,60.76
79,9,70,existence,133.65
82,73,9,debt,231.55
142,81,61,debt,461.83
60,57,3,payment,184.76
11,1,10,existence,21.41
16,13,3,payment,58.28
80,41,39,payment,166.15
71,22,49,payment,155.22
48,28,20,payment,119.34
122,66,56,existence,355.93
157,123,34,existence,430.82
157,46,111,existence,310.5
20,5,15,existence,37.4
30,7,23,existence,50.56
89,45,44,payment,213.84
1,1,0,payment,9.6
78,68,10,existence,159.21
73,57,16,payment,165.04
118,110,8,debt,359.17
98,83,15,debt,213.23
146,79,67,existence,465.64
30,26,4,existence,108.51
140,63,77,debt,359.88
1,1,0,existence,3.08
129,77,52,debt,264.62
38,10,28,existence,89.31
82,26,56,payment,181.85
62,53,9,payment,185.35
33,16,17,payment,87.78
29,8,21,existence,53.23
75,14,61,debt,141.86
46,28,18,debt,159.39
99,61,38,existence,253.3
42,29,13,existence,100.07
153,3,150,existence,371.28
33,24,9,existence,78.1
125,82,43,existence,372.02
82,13,69,payment,155.27
66,29,37,debt,133.23
99,68,31,debt,203.2
68,39,29,payment,151.65
114,22,92,debt,275.9
1,1,0,existence,2.42
27,12,15,payment,80.7
91,26,65,debt,266.18
105,57,48,existence,169.08
141,94,47,debt,419.31
40,15,25,payment,85.94
117,108,9,debt,354.29
115,96,19,existence,339.46
56,41,15,debt,204.21
135,73,62,existence,255.17
114,91,23,debt,308.37
134,58,76,existence,226.95
41,35,6,payment,104.3
121,108,13,existence,386.95
144,43,101,debt,227.67
42,18,24,debt,138.62
142,109,33,debt,338.33
153,103,50,existence,477.27
12,9,3,payment,45.46
58,17,41,existence,86.47
34,11,23,payment,77.41
55,20,35,existence,150.17
129,47,82,existence,235.39
60,18,42,debt,159.43
82,1,81,debt,199.82
98,97,1,existence,274.28
134,128,6,debt,502.36
29,28,1,existence,106.22
149,130,19,payment,377.71
143,104,39,payment,318.43
31,19,12,debt,109.87
106,83,23,existence,325.37
142,61,81,debt,327.46
67,51,16,payment,188.44
50,9,41,payment,101.92
79,44,35,existence,171.72
15,10,5,payment,36.73
6,5,1,payment,29.95
126,17,109,payment,242.89
133,125,8,existence,452.27
127,121,6,debt,436.15
84,57,27,debt,221.06
54,7,47,debt,131.63
92,74,18,debt,241.51
85,39,46,existence,225.02
126,125,1,existence,293.53
68,22,46,existence,167.75
17,3,14,debt,57.96
78,40,38,payment,132.41
50,16,34,debt,92.2
23,12,11,existence,39.22
142,135,7,debt,536.57
33,3,30,debt,85.23
86,32,54,existence,172.81
93,13,80,existence,245.37
62,45,17,payment,162.24
35,32,3,debt,116.86
4,1,3,payment,23.43
61,11,50,payment,147.68
129,38,91,payment,248.94
46,3,43,payment,125.84
91,7,84,existence,114.3
110,109,1,existence,387.08
125,91,34,existence,321.94
129,68,61,debt,403.98
94,21,73,debt,176.19
14,9,5,existence,40.68
127,18,109,existence,187.31
31,5,26,debt,111.14
40,40,0,payment,157.17
23,19,4,debt,70.07
77,18,59,payment,134.33
42,40,2,existence,138.87
126,51,75,existence,316.93
134,115,19,existence,295.48
124,33,91,existence,325.48
10,1,9,payment,28.54
77,54,23,debt,201.15
44,24,20,debt,156.21
123,3,120,debt,308.34
34,30,4,payment,105.2
37,18,19,debt,93.79
74,32,42,existence,144.6
114,103,11,payment,274.32
137,32,105,debt,340.68
91,13,78,debt,231.05
72,35,37,debt,214.31
55,10,45,payment,157.3
4,4,0,payment,23.31
8,7,1,existence,28.81
126,59,67,existence,189.4
138,84,54,debt,305.82
142,132,10,debt,410.19
30,21,9,existence,71.14
2,1,1,existence,5.78
134,8,126,existence,235.76
137,71,66,payment,251.16
155,116,39,payment,514.21
134,85,49,payment,401.47
132,109,23,debt,456.33
71,2,69,existence,119.2
155,65,90,debt,264.78
136,124,12,debt,363.82
148,52,96,existence,415.44
82,39,43,payment,226.75
90,67,23,payment,308.82
60,20,40,payment,135.34
80,1,79,payment,141.9
24,21,3,payment,68.13
18,4,14,debt,72.93
76,30,46,existence,193.1
120,69,51,payment,266.41
29,14,15,payment,87.4
3,2,1,existence,6.87
14,1,13,existence,26.09
91,13,78,existence,203.68
153,59,94,existence,395.58
137,57,80,existence,243.16
127,55,72,existence,353.55
64,50,14,existence,201.96
106,101,5,existence,340.72
154,43,111,debt,352.16
43,16,27,existence,87.97
79,18,61,debt,177.56
55,23,32,existence,99.77
108,26,82,existence,254.58
134,27,107,debt,228.7
15,5,10,existence,35.03
19,18,1,payment,72.68
37,30,7,payment,141.66
80,68,12,payment,214.7
119,3,116,debt,176.07
125,105,20,debt,377.75
62,31,31,existence,175.21
157,88,69,existence,349.51
96,61,35,debt,250.19
106,72,34,existence,300.42
25,20,5,existence,63.58
111,27,84,existence,164.34
113,42,71,existence,226.04
23,1,22,payment,51.02
129,54,75,debt,270.11
35,1,34,existence,83.92
19,17,2,debt,72.7
105,19,86,payment,260.2
155,4,151,debt,336.44
39,33,6,payment,126.39
54,34,20,debt,146.59
87,46,41,payment,274
147,93,54,payment,388.15
16,7,9,existence,31.28
96,94,2,existence,326.66
19,16,3,existence,47.65
74,21,53,existence,127.72
147,107,40,debt,392.09
26,12,14,debt,81.7
129,60,69,existence,252.24
16,1,15,existence,26.54
96,61,35,payment,243.04
108,35,73,payment,319.7
106,99,7,debt,362.88
86,56,30,debt,249.35
102,3,99,debt,147.75
114,55,59,debt,204.74
116,110,6,payment,384.86
95,20,75,payment,227.5
28,2,26,existence,58.12
69,12,57,payment,139.98
107,74,33,payment,278.37
60,24,36,payment,129.2
24,17,7,existence,53.24
106,57,49,payment,190.62
30,3,27,debt,88.12
114,72,42,existence,283.25
35,16,19,payment,109.4
29,14,15,payment,69.91
7,3,4,payment,33.18
153,128,25,payment,473.02
74,32,42,debt,248.54
156,88,68,debt,481.61
131,124,7,payment,382.54
19,11,8,payment,61.87
68,59,9,existence,164.61
33,21,12,payment,86.9
89,57,32,payment,238.18
29,5,24,existence,50.85
112,60,52,debt,319.71
95,42,53,debt,251.22
47,43,4,debt,113
43,8,35,debt,125.82
46,26,20,payment,145.78
5,1,4,payment,21.14
119,6,113,existence,241.18
119,40,79,existence,235.19
29,19,10,debt,112.07
115,89,26,payment,275.13
76,32,44,existence,132.93
73,68,5,debt,195.16
6,5,1,debt,41.02
150,9,141,existence,253.13
21,18,3,debt,92.64
99,49,50,payment,288.47
34,8,26,debt,88.44
45,43,2,payment,184.84
119,115,4,payment,335.58
151,124,27,payment,498.6
57,57,0,existence,149.91
59,31,28,existence,116.25
122,8,114,debt,292.8
153,129,24,payment,453.96
117,7,110,payment,272.89
61,29,32,payment,121.56
126,36,90,payment,315.63
20,16,4,debt,75.5
143,91,52,payment,467.82
34,20,14,payment,111.16
136,93,43,existence,355.41
11,10,1,debt,39.27
56,10,46,payment,125.61
108,86,22,existence,200.77
95,36,59,existence,194.67
120,66,54,debt,315.12
116,87,29,existence,347.9
111,35,76,debt,315.87
79,28,51,debt,152.96
129,26,103,existence,179.79
126,38,88,payment,205.48
88,54,34,existence,217.8
70,43,27,existence,208.49
45,41,4,debt,170.86
96,58,38,existence,254.46
123,24,99,debt,203.74
111,85,26,debt,347.46
5,3,2,payment,18.67
30,18,12,payment,68.16
27,23,4,existence,68
28,16,12,payment,62.1
32,2,30,debt,78.08
17,13,4,debt,64.47
77,61,16,payment,201.58
94,78,16,existence,258.02
55,8,47,existence,111.16
139,123,16,existence,383.15
20,18,2,debt,58.86
77,10,67,existence,144.9
63,4,59,debt,163.89
84,51,33,payment,245.45
22,12,10,debt,88.41
42,15,27,debt,142.5
128,107,21,debt,417.3
114,26,88,payment,318.03
126,120,6,existence,311.57
81,12,69,existence,194.99
50,12,38,payment,156.35
68,15,53,existence,107.65
22,12,10,debt,83.52
96,68,28,payment,234.56
64,50,14,existence,149.85
123,102,21,payment,237.95
96,65,31,debt,308.49
27,23,4,debt,116.85
50,4,46,debt,155.46
63,8,55,payment,89.16
44,38,6,debt,112.04
105,56,49,payment,317.27
35,28,7,debt,110.99
24,13,11,existence,69.58
50,10,40,existence,118.35
107,45,62,debt,202.05
134,70,64,debt,280.89
91,39,52,payment,172.29
81,40,41,existence,246.93
32,14,18,existence,86.55
118,67,51,existence,236.71
44,11,33,existence,73
122,35,87,existence,222.31
22,10,12,payment,70.54
93,81,12,payment,210.88
111,58,53,debt,243.64
19,17,2,debt,69.63
13,2,11,payment,47.27
54,5,49,debt,89.02
15,9,6,payment,43.19
33,8,25,existence,91.63
99,77,22,existence,337.02
120,84,36,existence,233.77
42,6,36,debt,74.64
66,56,10,debt,129.3
94,87,7,payment,219.16
26,2,24,payment,74.45
16,8,8,payment,49
83,27,56,payment,185.21
133,25,108,existence,351.52
8,3,5,existence,20.98
20,11,9,payment,68.92
142,82,60,existence,349.4
4,2,2,existence,9.24
39,20,19,debt,121.42
41,19,22,payment,79.65
114,81,33,payment,335.91
28,1,27,existence,55.53
42,3,39,existence,99.21
62,42,20,debt,144.31
107,32,75,payment,200.03
24,15,9,debt,83.99
14,8,6,payment,29.03
57,5,52,payment,116.2
118,110,8,payment,384.94
109,61,48,existence,221.78
93,72,21,payment,210.77
73,54,19,debt,191.1
120,29,91,payment,235.6
72,28,44,debt,205.5
5,3,2,debt,36.89
138,120,18,debt,416.58
64,49,15,payment,126.85
42,17,25,payment,120.9
5,1,4,payment,17.52
19,11,8,payment,49.06
95,27,68,existence,200.99
146,104,42,existence,422.4
49,22,27,payment,89.75
51,30,21,debt,129.12
126,48,78,debt,193.86
47,36,11,existence,127.66
98,10,88,debt,273.69
39,35,4,existence,114.21
82,70,12,existence,145.1
20,2,18,debt,56.3
127,67,60,debt,295.41
93,27,66,existence,166.66
75,34,41,payment,210.4
143,63,80,debt,319.46
74,39,35,existence,212.68
28,28,0,debt,118.5
80,37,43,existence,245.48
139,74,65,debt,264
4,3,1,existence,10.21
137,77,60,existence,288.5
147,65,82,debt,442.11
9,2,7,debt,37.09
112,6,106,debt,203.31
58,16,42,payment,140.87
107,107,0,payment,369.57
36,12,24,payment,75.41
49,8,41,payment,92.03
32,16,16,payment,99.89
50,17,33,payment,124.53
12,8,4,existence,22.05
34,25,9,debt,95.76
84,46,38,payment,232.28
21,7,14,payment,62.22
144,87,57,existence,445.79
121,95,26,payment,341.55
51,42,9,existence,168.59
139,79,60,payment,309.94
98,96,2,existence,310.57
72,58,14,existence,209.37
134,79,55,payment,352.43
26,21,5,existence,78.3
147,103,44,payment,313.34
36,36,0,debt,121.98
126,4,122,existence,232.8
113,57,56,payment,338.46
110,55,55,payment,201.55
26,3,23,debt,65.31
1,1,0,payment,11.89
13,2,11,existence,27.36
18,14,4,payment,71.95
68,19,49,existence,112.42
143,134,9,payment,470.34
70,14,56,debt,136.58
38,23,15,debt,119.6
76,21,55,debt,192.61
14,10,4,payment,47.16
9,4,5,existence,23.87
71,42,29,existence,202.22
97,43,54,payment,248.4
115,86,29,debt,326.66
113,77,36,debt,255.76
140,57,83,debt,414.14
53,32,21,payment,105.39
106,98,8,existence,300.17
15,7,8,payment,55.82
31,22,9,payment,95.57
50,28,22,payment,169.93
9,8,1,debt,45.32
57,13,44,existence,99.38
104,95,9,existence,304.52
155,97,58,payment,448.52
115,44,71,existence,269.08
72,37,35,payment,208.71
23,18,5,payment,87.81
61,13,48,payment,138.6
141,56,85,debt,294.12
146,108,38,payment,299.93
11,4,7,existence,24.31
113,57,56,existence,217.67
105,20,85,payment,185.51
9,4,5,existence,23.29
66,14,52,debt,121.55
14,2,12,payment,40.51
89,4,85,payment,174.34
74,18,56,debt,155.8
88,68,20,debt,289.05
26,10,16,debt,86.5
126,52,74,existence,384.18
42,8,34,existence,111.22
150,27,123,debt,366.06
97,18,79,existence,191.69
32,28,4,debt,116.33
18,18,0,payment,61.14
137,129,8,existence,430.69
41,11,30,payment,102.42
103,89,14,debt,288.14
81,54,27,debt,221.3
91,59,32,payment,214.19
25,2,23,debt,58.67
102,24,78,existence,175.31
33,23,10,existence,94.06
64,57,7,existence,217.19
25,6,19,payment,81.55
3,1,2,existence,8.01
12,2,10,debt,33.21
126,21,105,debt,269.82
114,26,88,existence,267.77
20,8,12,payment,53.83
25,21,4,debt,87.69
14,3,11,existence,21.55
101,59,42,debt,269.63
60,22,38,existence,97.04
38,3,35,debt,92.1
133,85,48,payment,325.43
66,39,27,existence,188.15
69,23,46,payment,184.4
154,114,40,existence,360.07
154,36,118,existence,340.85
53,42,11,debt,199.21
3,1,2,existence,6.71
30,13,17,existence,74.72
98,96,2,payment,315.2
35,4,31,payment,63.27
81,39,42,existence,210.8
32,22,10,existence,89.91
37,10,27,existence,52.27
145,73,72,payment,407.03
120,8,112,payment,244.26
46,37,9,debt,165.57
150,150,0,existence,443.86
42,35,7,payment,106.28
132,54,78,payment,379.44
27,19,8,existence,81.86
53,50,3,existence,170.24
136,21,115,existence,217.83
89,51,38,debt,270.15
133,59,74,debt,297.98
156,46,110,existence,375.34
42,32,10,payment,106.97
10,9,1,debt,38.55
74,33,41,debt,203.98
17,7,10,payment,48.02
58,32,26,existence,124.73
99,78,21,payment,246.44
27,23,4,payment,96.87
34,20,14,payment,85.06
36,28,8,existence,67.56
30,26,4,payment,94.57
151,20,131,payment,315.83
137,110,27,debt,468.91
54,38,16,debt,146.85
153,31,122,debt,321.13
56,32,24,payment,107.73
153,76,77,payment,267.14
80,53,27,existence,180.97
69,61,8,debt,220.17
80,77,3,payment,297.03
133,101,32,existence,338.86
89,10,79,payment,153.45
34,33,1,payment,128.8
87,60,27,payment,246.18
53,49,4,payment,137
101,29,72,payment,184.72
143,2,141,debt,237.09
117,21,96,existence,314.71
41,4,37,payment,117.85
96,18,78,debt,187.82
109,22,87,debt,227.97
128,47,81,existence,356.68
